"";"municipio";"n";"nome_municipio"
"1";320020;2;"Alegre"
"2";320040;2;"Anchieta"
"3";320060;3;"Aracruz"
"4";320080;1;"Baixo Guandu"
"5";320090;1;"Barra de São Francisco"
"6";320120;10;"Cachoeiro de Itapemirim"
"7";320130;9;"Cariacica"
"8";320150;5;"Colatina"
"9";320220;1;"Fundão"
"10";320240;6;"Guarapari"
"11";320290;1;"Itarana"
"12";320300;1;"Iúna"
"13";320320;11;"Linhares"
"14";320330;1;"Mantenópolis"
"15";320332;1;"Marataízes"
"16";320334;1;"Marechal Floriano"
"17";320390;2;"Nova Venécia"
"18";320410;1;"Pinheiros"
"19";320450;1;"Santa Leopoldina"
"20";320455;3;"Santa Maria de Jetibá"
"21";320480;1;"São José do Calçado"
"22";320490;2;"São Mateus"
"23";320500;8;"Serra"
"24";320506;1;"Venda Nova do Imigrante"
"25";320520;38;"Vila Velha"
"26";320530;114;"Vitória"
